"product_id","product_name","product_description","price","category_id","created_at","updated_at","product_status","image_url","stock_quantity","is_deleted"
"1","MonPetit貓倍麗乾糧-成貓鮮魚什錦","# 自然主義 全齡貓 草本美毛貓糧 (雞肉鮭魚+百合根) 
 **無麩質低敏食譜** 
 
 ## 特色 
 - 荷蘭獸醫調配，毛孩均衡食補 
 - 海藻 & 綠茶萃取塗層，充氮包裝能保鮮 
 - 本配方符合歐洲 FEDIAF 營養規範 
 
 ## 成份 
 雞肉、米、玉米、豌豆、雞脂、鮭魚、鮭魚油、 
 海藻、菊苣纖維、蕃茄乾、紫花苜蓿、百合根、絲蘭、 
 維生素 A、維生素 D3、維生素 E、硫酸銅、硫酸亞鐵、 
 二氧化錳、硫酸鋅、碘酸鈣、亞硒酸鈉、牛磺酸 
 
 ## 營養分析 
 - **粗蛋白**：32.0% 
 - **粗脂肪**：15.0% 
 - **粗灰分**：8.0% 
 - **粗纖維**：1.6% 
 - **水分**：8.0% 
 - **鈣**：1.7% 
 - **磷**：1.3% 
 - **熱量**：3859 仟卡/公斤 
 
 ## 適用對象 
 全齡貓適用。 
 
 ## 食用方式 
 請參閱包裝上每日建議餵食量。 
 
 ## 保存方式 
 請儲存於陰涼乾燥無蟲害處並避免日曬，拆封後請盡速食用完畢。 
 
 ## 注意事項 
 1. 本產品有海藻塗層，顆粒上有黑褐色小點屬於正常現象。 
 2. 品牌轉換時，建議以 7-10 天逐步轉換為宜。 
 3. 請放置於兒童及寵物無法取得的地方，避免誤吞造成噎食意外。 
 
 ## 原產地 
 荷蘭","100","7","2025-01-16 03:08:00","2025-03-28 15:52:00","上架","/images/shop/DryFoodCat/catDryFood (1).jpg","50","0"
"2","【法國皇家】E42挑嘴成貓營養滿分飼料","# 自然主義 全齡貓 草本美毛貓糧 (雞肉鮭魚+百合根) 
 **無麩質低敏食譜** 
 
 ## 特色 
 - 荷蘭獸醫調配，毛孩均衡食補 
 - 海藻 & 綠茶萃取塗層，充氮包裝能保鮮 
 - 本配方符合歐洲 FEDIAF 營養規範 
 
 ## 成份 
 雞肉、米、玉米、豌豆、雞脂、鮭魚、鮭魚油、 
 海藻、菊苣纖維、蕃茄乾、紫花苜蓿、百合根、絲蘭、 
 維生素 A、維生素 D3、維生素 E、硫酸銅、硫酸亞鐵、 
 二氧化錳、硫酸鋅、碘酸鈣、亞硒酸鈉、牛磺酸 
 
 ## 營養分析 
 - **粗蛋白**：32.0% 
 - **粗脂肪**：15.0% 
 - **粗灰分**：8.0% 
 - **粗纖維**：1.6% 
 - **水分**：8.0% 
 - **鈣**：1.7% 
 - **磷**：1.3% 
 - **熱量**：3859 仟卡/公斤 
 
 ## 適用對象 
 全齡貓適用。 
 
 ## 食用方式 
 請參閱包裝上每日建議餵食量。 
 
 ## 保存方式 
 請儲存於陰涼乾燥無蟲害處並避免日曬，拆封後請盡速食用完畢。 
 
 ## 注意事項 
 1. 本產品有海藻塗層，顆粒上有黑褐色小點屬於正常現象。 
 2. 品牌轉換時，建議以 7-10 天逐步轉換為宜。 
 4. 請放置於兒童及寵物無法取得的地方，避免誤吞造成噎食意外。 
 
 ## 原產地 
 荷蘭","150","7","2025-01-16 03:08:00","2025-03-11 15:42:00","上架","/images/shop/DryFoodCat/catDryFood (10).jpg","30","0"
"3","【法國皇家】BS34英國短毛成貓專用飼料","# 自然主義 全齡貓 草本美毛貓糧 (雞肉鮭魚+百合根) 
 **無麩質低敏食譜** 
 
 ## 特色 
 - 荷蘭獸醫調配，毛孩均衡食補 
 - 海藻 & 綠茶萃取塗層，充氮包裝能保鮮 
 - 本配方符合歐洲 FEDIAF 營養規範 
 
 ## 成份 
 雞肉、米、玉米、豌豆、雞脂、鮭魚、鮭魚油、 
 海藻、菊苣纖維、蕃茄乾、紫花苜蓿、百合根、絲蘭、 
 維生素 A、維生素 D3、維生素 E、硫酸銅、硫酸亞鐵、 
 二氧化錳、硫酸鋅、碘酸鈣、亞硒酸鈉、牛磺酸 
 
 ## 營養分析 
 - **粗蛋白**：32.0% 
 - **粗脂肪**：15.0% 
 - **粗灰分**：8.0% 
 - **粗纖維**：1.6% 
 - **水分**：8.0% 
 - **鈣**：1.7% 
 - **磷**：1.3% 
 - **熱量**：3859 仟卡/公斤 
 
 ## 適用對象 
 全齡貓適用。 
 
 ## 食用方式 
 請參閱包裝上每日建議餵食量。 
 
 ## 保存方式 
 請儲存於陰涼乾燥無蟲害處並避免日曬，拆封後請盡速食用完畢。 
 
 ## 注意事項 
 1. 本產品有海藻塗層，顆粒上有黑褐色小點屬於正常現象。 
 2. 品牌轉換時，建議以 7-10 天逐步轉換為宜。 
 5. 請放置於兒童及寵物無法取得的地方，避免誤吞造成噎食意外。 
 
 ## 原產地 
 荷蘭","80","7","2025-01-16 03:08:00","2025-03-11 15:42:00","上架","/images/shop/DryFoodCat/catDryFood (11).jpg","70","0"
"4","【法國皇家】BSK38英國短毛幼貓專用飼料","# 自然主義 全齡貓 草本美毛貓糧 (雞肉鮭魚+百合根) 
 **無麩質低敏食譜** 
 
 ## 特色 
 - 荷蘭獸醫調配，毛孩均衡食補 
 - 海藻 & 綠茶萃取塗層，充氮包裝能保鮮 
 - 本配方符合歐洲 FEDIAF 營養規範 
 
 ## 成份 
 雞肉、米、玉米、豌豆、雞脂、鮭魚、鮭魚油、 
 海藻、菊苣纖維、蕃茄乾、紫花苜蓿、百合根、絲蘭、 
 維生素 A、維生素 D3、維生素 E、硫酸銅、硫酸亞鐵、 
 二氧化錳、硫酸鋅、碘酸鈣、亞硒酸鈉、牛磺酸 
 
 ## 營養分析 
 - **粗蛋白**：32.0% 
 - **粗脂肪**：15.0% 
 - **粗灰分**：8.0% 
 - **粗纖維**：1.6% 
 - **水分**：8.0% 
 - **鈣**：1.7% 
 - **磷**：1.3% 
 - **熱量**：3859 仟卡/公斤 
 
 ## 適用對象 
 全齡貓適用。 
 
 ## 食用方式 
 請參閱包裝上每日建議餵食量。 
 
 ## 保存方式 
 請儲存於陰涼乾燥無蟲害處並避免日曬，拆封後請盡速食用完畢。 
 
 ## 注意事項 
 1. 本產品有海藻塗層，顆粒上有黑褐色小點屬於正常現象。 
 2. 品牌轉換時，建議以 7-10 天逐步轉換為宜。 
 6. 請放置於兒童及寵物無法取得的地方，避免誤吞造成噎食意外。 
 
 ## 原產地 
 荷蘭","120","7","2025-01-16 03:08:00","2025-03-11 15:42:00","上架","/images/shop/DryFoodCat/catDryFood (12).jpg","40","0"
"5","陪心寵糧 全齡貓無穀低碳貓糧(鮮雞野莓)","# 自然主義 全齡貓 草本美毛貓糧 (雞肉鮭魚+百合根) 
 **無麩質低敏食譜** 
 
 ## 特色 
 - 荷蘭獸醫調配，毛孩均衡食補 
 - 海藻 & 綠茶萃取塗層，充氮包裝能保鮮 
 - 本配方符合歐洲 FEDIAF 營養規範 
 
 ## 成份 
 雞肉、米、玉米、豌豆、雞脂、鮭魚、鮭魚油、 
 海藻、菊苣纖維、蕃茄乾、紫花苜蓿、百合根、絲蘭、 
 維生素 A、維生素 D3、維生素 E、硫酸銅、硫酸亞鐵、 
 二氧化錳、硫酸鋅、碘酸鈣、亞硒酸鈉、牛磺酸 
 
 ## 營養分析 
 - **粗蛋白**：32.0% 
 - **粗脂肪**：15.0% 
 - **粗灰分**：8.0% 
 - **粗纖維**：1.6% 
 - **水分**：8.0% 
 - **鈣**：1.7% 
 - **磷**：1.3% 
 - **熱量**：3859 仟卡/公斤 
 
 ## 適用對象 
 全齡貓適用。 
 
 ## 食用方式 
 請參閱包裝上每日建議餵食量。 
 
 ## 保存方式 
 請儲存於陰涼乾燥無蟲害處並避免日曬，拆封後請盡速食用完畢。 
 
 ## 注意事項 
 1. 本產品有海藻塗層，顆粒上有黑褐色小點屬於正常現象。 
 2. 品牌轉換時，建議以 7-10 天逐步轉換為宜。 
 7. 請放置於兒童及寵物無法取得的地方，避免誤吞造成噎食意外。 
 
 ## 原產地 
 荷蘭","200","7","2025-01-16 03:08:00","2025-03-11 15:42:00","上架","/images/shop/DryFoodCat/catDryFood (13).jpg","20","0"
"6","【法國皇家】BG40豹貓成貓專用飼料","# 自然主義 全齡貓 草本美毛貓糧 (雞肉鮭魚+百合根) 
 **無麩質低敏食譜** 
 
 ## 特色 
 - 荷蘭獸醫調配，毛孩均衡食補 
 - 海藻 & 綠茶萃取塗層，充氮包裝能保鮮 
 - 本配方符合歐洲 FEDIAF 營養規範 
 
 ## 成份 
 雞肉、米、玉米、豌豆、雞脂、鮭魚、鮭魚油、 
 海藻、菊苣纖維、蕃茄乾、紫花苜蓿、百合根、絲蘭、 
 維生素 A、維生素 D3、維生素 E、硫酸銅、硫酸亞鐵、 
 二氧化錳、硫酸鋅、碘酸鈣、亞硒酸鈉、牛磺酸 
 
 ## 營養分析 
 - **粗蛋白**：32.0% 
 - **粗脂肪**：15.0% 
 - **粗灰分**：8.0% 
 - **粗纖維**：1.6% 
 - **水分**：8.0% 
 - **鈣**：1.7% 
 - **磷**：1.3% 
 - **熱量**：3859 仟卡/公斤 
 
 ## 適用對象 
 全齡貓適用。 
 
 ## 食用方式 
 請參閱包裝上每日建議餵食量。 
 
 ## 保存方式 
 請儲存於陰涼乾燥無蟲害處並避免日曬，拆封後請盡速食用完畢。 
 
 ## 注意事項 
 1. 本產品有海藻塗層，顆粒上有黑褐色小點屬於正常現象。 
 2. 品牌轉換時，建議以 7-10 天逐步轉換為宜。 
 8. 請放置於兒童及寵物無法取得的地方，避免誤吞造成噎食意外。 
 
 ## 原產地 
 荷蘭","250","7","2025-01-16 03:08:00","2025-03-11 15:42:00","上架","/images/shop/DryFoodCat/catDryFood (14).jpg","25","0"
"7","【加贈凍乾】自然主義 成貓 草本貓糧","# 自然主義 全齡貓 草本美毛貓糧 (雞肉鮭魚+百合根) 
 **無麩質低敏食譜** 
 
 ## 特色 
 - 荷蘭獸醫調配，毛孩均衡食補 
 - 海藻 & 綠茶萃取塗層，充氮包裝能保鮮 
 - 本配方符合歐洲 FEDIAF 營養規範 
 
 ## 成份 
 雞肉、米、玉米、豌豆、雞脂、鮭魚、鮭魚油、 
 海藻、菊苣纖維、蕃茄乾、紫花苜蓿、百合根、絲蘭、 
 維生素 A、維生素 D3、維生素 E、硫酸銅、硫酸亞鐵、 
 二氧化錳、硫酸鋅、碘酸鈣、亞硒酸鈉、牛磺酸 
 
 ## 營養分析 
 - **粗蛋白**：32.0% 
 - **粗脂肪**：15.0% 
 - **粗灰分**：8.0% 
 - **粗纖維**：1.6% 
 - **水分**：8.0% 
 - **鈣**：1.7% 
 - **磷**：1.3% 
 - **熱量**：3859 仟卡/公斤 
 
 ## 適用對象 
 全齡貓適用。 
 
 ## 食用方式 
 請參閱包裝上每日建議餵食量。 
 
 ## 保存方式 
 請儲存於陰涼乾燥無蟲害處並避免日曬，拆封後請盡速食用完畢。 
 
 ## 注意事項 
 1. 本產品有海藻塗層，顆粒上有黑褐色小點屬於正常現象。 
 2. 品牌轉換時，建議以 7-10 天逐步轉換為宜。 
 9. 請放置於兒童及寵物無法取得的地方，避免誤吞造成噎食意外。 
 
 ## 原產地 
 荷蘭","500","7","2025-01-16 03:08:00","2025-03-11 15:42:00","上架","/images/shop/DryFoodCat/catDryFood (2).jpg","10","0"
"8","【加贈凍乾】自然主義 全齡貓 草本美毛貓糧(雞肉鮭魚+百合根)","# 自然主義 全齡貓 草本美毛貓糧 (雞肉鮭魚+百合根) 
 **無麩質低敏食譜** 
 
 ## 特色 
 - 荷蘭獸醫調配，毛孩均衡食補 
 - 海藻 & 綠茶萃取塗層，充氮包裝能保鮮 
 - 本配方符合歐洲 FEDIAF 營養規範 
 
 ## 成份 
 雞肉、米、玉米、豌豆、雞脂、鮭魚、鮭魚油、 
 海藻、菊苣纖維、蕃茄乾、紫花苜蓿、百合根、絲蘭、 
 維生素 A、維生素 D3、維生素 E、硫酸銅、硫酸亞鐵、 
 二氧化錳、硫酸鋅、碘酸鈣、亞硒酸鈉、牛磺酸 
 
 ## 營養分析 
 - **粗蛋白**：32.0% 
 - **粗脂肪**：15.0% 
 - **粗灰分**：8.0% 
 - **粗纖維**：1.6% 
 - **水分**：8.0% 
 - **鈣**：1.7% 
 - **磷**：1.3% 
 - **熱量**：3859 仟卡/公斤 
 
 ## 適用對象 
 全齡貓適用。 
 
 ## 食用方式 
 請參閱包裝上每日建議餵食量。 
 
 ## 保存方式 
 請儲存於陰涼乾燥無蟲害處並避免日曬，拆封後請盡速食用完畢。 
 
 ## 注意事項 
 1. 本產品有海藻塗層，顆粒上有黑褐色小點屬於正常現象。 
 2. 品牌轉換時，建議以 7-10 天逐步轉換為宜。 
 10. 請放置於兒童及寵物無法取得的地方，避免誤吞造成噎食意外。 
 
 ## 原產地 
 荷蘭","550","7","2025-01-16 03:08:00","2025-03-11 15:42:00","上架","/images/shop/DryFoodCat/catDryFood (3).jpg","15","0"
"9","CHARM野性魅力 成貓配方","# 自然主義 全齡貓 草本美毛貓糧 (雞肉鮭魚+百合根) 
 **無麩質低敏食譜** 
 
 ## 特色 
 - 荷蘭獸醫調配，毛孩均衡食補 
 - 海藻 & 綠茶萃取塗層，充氮包裝能保鮮 
 - 本配方符合歐洲 FEDIAF 營養規範 
 
 ## 成份 
 雞肉、米、玉米、豌豆、雞脂、鮭魚、鮭魚油、 
 海藻、菊苣纖維、蕃茄乾、紫花苜蓿、百合根、絲蘭、 
 維生素 A、維生素 D3、維生素 E、硫酸銅、硫酸亞鐵、 
 二氧化錳、硫酸鋅、碘酸鈣、亞硒酸鈉、牛磺酸 
 
 ## 營養分析 
 - **粗蛋白**：32.0% 
 - **粗脂肪**：15.0% 
 - **粗灰分**：8.0% 
 - **粗纖維**：1.6% 
 - **水分**：8.0% 
 - **鈣**：1.7% 
 - **磷**：1.3% 
 - **熱量**：3859 仟卡/公斤 
 
 ## 適用對象 
 全齡貓適用。 
 
 ## 食用方式 
 請參閱包裝上每日建議餵食量。 
 
 ## 保存方式 
 請儲存於陰涼乾燥無蟲害處並避免日曬，拆封後請盡速食用完畢。 
 
 ## 注意事項 
 1. 本產品有海藻塗層，顆粒上有黑褐色小點屬於正常現象。 
 2. 品牌轉換時，建議以 7-10 天逐步轉換為宜。 
 11. 請放置於兒童及寵物無法取得的地方，避免誤吞造成噎食意外。 
 
 ## 原產地 
 荷蘭","60","7","2025-01-16 03:08:00","2025-03-11 15:42:00","上架","/images/shop/DryFoodCat/catDryFood (4).jpg","80","0"
"10","【加贈抗菌慕斯】TOMA-PRO優格 經典系列-成幼貓雞肉+","# 自然主義 全齡貓 草本美毛貓糧 (雞肉鮭魚+百合根) 
 **無麩質低敏食譜** 
 
 ## 特色 
 - 荷蘭獸醫調配，毛孩均衡食補 
 - 海藻 & 綠茶萃取塗層，充氮包裝能保鮮 
 - 本配方符合歐洲 FEDIAF 營養規範 
 
 ## 成份 
 雞肉、米、玉米、豌豆、雞脂、鮭魚、鮭魚油、 
 海藻、菊苣纖維、蕃茄乾、紫花苜蓿、百合根、絲蘭、 
 維生素 A、維生素 D3、維生素 E、硫酸銅、硫酸亞鐵、 
 二氧化錳、硫酸鋅、碘酸鈣、亞硒酸鈉、牛磺酸 
 
 ## 營養分析 
 - **粗蛋白**：32.0% 
 - **粗脂肪**：15.0% 
 - **粗灰分**：8.0% 
 - **粗纖維**：1.6% 
 - **水分**：8.0% 
 - **鈣**：1.7% 
 - **磷**：1.3% 
 - **熱量**：3859 仟卡/公斤 
 
 ## 適用對象 
 全齡貓適用。 
 
 ## 食用方式 
 請參閱包裝上每日建議餵食量。 
 
 ## 保存方式 
 請儲存於陰涼乾燥無蟲害處並避免日曬，拆封後請盡速食用完畢。 
 
 ## 注意事項 
 1. 本產品有海藻塗層，顆粒上有黑褐色小點屬於正常現象。 
 2. 品牌轉換時，建議以 7-10 天逐步轉換為宜。 
 12. 請放置於兒童及寵物無法取得的地方，避免誤吞造成噎食意外。 
 
 ## 原產地 
 荷蘭","70","7","2025-01-16 03:08:00","2025-03-11 15:42:00","上架","/images/shop/DryFoodCat/catDryFood (5).jpg","90","0"
